Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Satisfaction_Weighted_Salary,YearsSincePromotion,TenurePerf,IncomeAgeRatio,ExperienceLevel,CareerProgress,SalaryPerLevel,PromotionRate,Increment,FutureSalary,LogFutureSalary,Performance_Experience,Satisfaction_Experience,Performance_Satisfaction,poly_0,poly_1,poly_2,poly_3,poly_4,LogMonthlyIncome,Performance_Tenure,Income_Level,P_Stay
53.0,0.0,2.0,1219.0,2.0,2.0,4.0,1.0,1.0,23.0,1.0,0.0,78.0,2.0,4.0,3.0,4.0,1.0,15427.0,22021.0,2.0,0.0,0.0,16.0,3.0,3.0,80.0,0.0,31.0,3.0,3.0,25.0,8.0,3.0,7.0,15427.0,22.0,75.0,291.07547169811323,0.5849056603773585,0.12903225806451613,3856.75,0.12,1.05,16198.35,9.692726396958719,75.0,100.0,12.0,15427.0,25.0,237992329.0,385675.0,625.0,9.643939319328119,75.0,3856.75,0.9322980077650407
38.0,0.0,2.0,371.0,1.0,2.0,3.0,1.0,1.0,24.0,4.0,1.0,45.0,3.0,1.0,6.0,4.0,2.0,3944.0,4306.0,5.0,0.0,1.0,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,3944.0,2.0,9.0,103.78947368421052,0.15789473684210525,0.16666666666666666,3944.0,0.3333333333333333,1.05,4141.2,8.32898232664205,9.0,12.0,12.0,3944.0,3.0,15555136.0,11832.0,9.0,8.280204233279974,9.0,3944.0,0.7311988388940371
24.0,0.0,0.0,673.0,1.0,11.0,2.0,4.0,1.0,26.0,1.0,0.0,96.0,4.0,2.0,4.0,3.0,0.0,4011.0,8232.0,0.0,0.0,0.0,18.0,3.0,4.0,80.0,1.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0,3008.25,3.0,12.0,167.125,0.20833333333333334,0.4,2005.5,0.25,1.05,4211.55,8.345823444026378,12.0,12.0,9.0,4011.0,4.0,16088121.0,16044.0,16.0,8.297045149081827,12.0,2005.5,0.9899012500599835
36.0,1.0,2.0,1218.0,2.0,9.0,4.0,1.0,1.0,27.0,3.0,1.0,82.0,2.0,1.0,8.0,1.0,2.0,3407.0,6986.0,7.0,0.0,0.0,23.0,4.0,2.0,80.0,0.0,10.0,4.0,3.0,5.0,3.0,0.0,3.0,851.75,5.0,20.0,94.63888888888889,0.2777777777777778,0.1,3407.0,0.0,1.1,3747.7000000000003,8.22916439219501,20.0,5.0,4.0,3407.0,5.0,11607649.0,17035.0,25.0,8.133880887949207,20.0,3407.0,0.4653028420356524
34.0,0.0,2.0,419.0,1.0,7.0,4.0,1.0,1.0,28.0,1.0,0.0,53.0,3.0,3.0,5.0,2.0,2.0,11994.0,21293.0,0.0,0.0,0.0,11.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,11.0,5997.0,10.0,36.0,352.7647058823529,0.38235294117647056,0.23076923076923078,3998.0,0.16666666666666666,1.05,12593.7,9.44103136952725,36.0,24.0,6.0,11994.0,12.0,143856036.0,143928.0,144.0,9.392245175273795,36.0,3998.0,0.9815860470854193
21.0,0.0,2.0,391.0,1.0,15.0,2.0,1.0,1.0,30.0,3.0,1.0,96.0,3.0,1.0,6.0,4.0,2.0,1232.0,19281.0,1.0,0.0,0.0,14.0,3.0,4.0,80.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1232.0,0.0,0.0,58.666666666666664,0.0,1.0,1232.0,0.0,1.05,1293.6000000000001,7.1659570461114095,0.0,0.0,12.0,1232.0,0.0,1517824.0,0.0,0.0,7.117205503164344,0.0,1232.0,0.708774126811321
34.0,1.0,2.0,699.0,1.0,6.0,1.0,3.0,1.0,31.0,2.0,1.0,83.0,3.0,1.0,6.0,1.0,2.0,2960.0,17102.0,2.0,0.0,0.0,11.0,3.0,3.0,80.0,0.0,8.0,2.0,3.0,4.0,2.0,1.0,3.0,740.0,3.0,12.0,87.05882352941177,0.23529411764705882,0.125,2960.0,0.25,1.05,3108.0,8.042056410058754,12.0,4.0,3.0,2960.0,4.0,8761600.0,11840.0,16.0,7.993282328101591,12.0,2960.0,0.7936702699838041
53.0,0.0,2.0,1282.0,1.0,5.0,3.0,4.0,1.0,32.0,3.0,0.0,58.0,3.0,5.0,3.0,3.0,0.0,19094.0,10735.0,4.0,0.0,0.0,11.0,3.0,4.0,80.0,1.0,26.0,3.0,2.0,14.0,13.0,4.0,8.0,14320.5,10.0,42.0,360.2641509433962,0.49056603773584906,0.19230769230769232,3818.8,0.2857142857142857,1.05,20048.7,9.905969470029259,42.0,42.0,9.0,19094.0,14.0,364580836.0,267316.0,196.0,9.857181799659617,42.0,3818.8,0.998280744113107
32.0,1.0,1.0,1125.0,1.0,16.0,1.0,1.0,1.0,33.0,2.0,0.0,72.0,1.0,1.0,6.0,1.0,2.0,3919.0,4681.0,1.0,0.0,1.0,22.0,4.0,2.0,80.0,0.0,10.0,5.0,3.0,10.0,2.0,6.0,7.0,979.75,4.0,40.0,122.46875,0.3125,0.1,3919.0,0.6,1.1,4310.900000000001,8.369133921225297,40.0,10.0,4.0,3919.0,10.0,15358561.0,39190.0,100.0,8.273846932784508,40.0,3919.0,0.2562425050987409
42.0,0.0,2.0,691.0,2.0,8.0,4.0,2.0,1.0,35.0,3.0,1.0,48.0,3.0,2.0,7.0,2.0,1.0,6825.0,21173.0,0.0,0.0,0.0,11.0,3.0,4.0,80.0,1.0,10.0,2.0,3.0,9.0,7.0,4.0,2.0,3412.5,5.0,27.0,162.5,0.23809523809523808,0.2,3412.5,0.4444444444444444,1.05,7166.25,8.87727731748406,27.0,18.0,6.0,6825.0,9.0,46580625.0,61425.0,81.0,8.828494129466652,27.0,3412.5,0.9727416825447315
44.0,0.0,2.0,477.0,1.0,7.0,4.0,3.0,1.0,36.0,1.0,0.0,42.0,2.0,3.0,0.0,4.0,1.0,10248.0,2094.0,3.0,0.0,0.0,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,22.0,6.0,5.0,17.0,10248.0,17.0,66.0,232.9090909090909,0.5454545454545454,0.125,3416.0,0.22727272727272727,1.05,10760.4,9.283720936776168,66.0,88.0,12.0,10248.0,22.0,105021504.0,225456.0,484.0,9.234935418831563,66.0,3416.0,0.9615169103290399
46.0,0.0,2.0,705.0,2.0,2.0,4.0,2.0,1.0,38.0,2.0,0.0,83.0,3.0,5.0,3.0,1.0,2.0,18947.0,22822.0,3.0,0.0,0.0,12.0,3.0,4.0,80.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0,4736.75,0.0,6.0,411.89130434782606,0.4782608695652174,0.22727272727272727,3789.4,1.0,1.05,19894.350000000002,9.898241315066175,6.0,2.0,3.0,18947.0,2.0,358988809.0,37894.0,4.0,9.849453664043642,6.0,3789.4,0.9148977695344245
33.0,0.0,2.0,924.0,1.0,2.0,3.0,3.0,1.0,39.0,3.0,1.0,78.0,3.0,1.0,2.0,4.0,2.0,2496.0,6670.0,4.0,0.0,0.0,11.0,3.0,4.0,80.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,2496.0,1.0,3.0,75.63636363636364,0.21212121212121213,0.14285714285714285,2496.0,0.0,1.05,2620.8,7.871616383763709,3.0,4.0,12.0,2496.0,1.0,6230016.0,2496.0,1.0,7.822845290279774,3.0,2496.0,0.9303933860741755
44.0,0.0,2.0,1459.0,1.0,10.0,4.0,4.0,1.0,40.0,4.0,1.0,41.0,3.0,2.0,0.0,4.0,1.0,6465.0,19121.0,2.0,0.0,1.0,13.0,3.0,4.0,80.0,0.0,9.0,5.0,4.0,4.0,2.0,1.0,3.0,6465.0,3.0,12.0,146.9318181818182,0.20454545454545456,0.2222222222222222,3232.5,0.25,1.05,6788.25,8.823095757898212,12.0,16.0,12.0,6465.0,4.0,41796225.0,25860.0,16.0,8.774312958285378,12.0,3232.5,0.959545701948966
30.0,0.0,2.0,125.0,1.0,9.0,2.0,3.0,1.0,41.0,4.0,1.0,83.0,2.0,1.0,2.0,3.0,2.0,2206.0,16117.0,1.0,0.0,0.0,13.0,3.0,1.0,80.0,0.0,10.0,5.0,3.0,10.0,0.0,1.0,8.0,1654.5,9.0,30.0,73.53333333333333,0.3333333333333333,0.1,2206.0,0.1,1.05,2316.3,7.748157993823836,30.0,30.0,9.0,2206.0,10.0,4866436.0,22060.0,100.0,7.699389406256737,30.0,2206.0,0.7949781123355167
39.0,1.0,2.0,895.0,2.0,5.0,3.0,5.0,1.0,42.0,4.0,1.0,56.0,3.0,2.0,8.0,4.0,1.0,2086.0,3335.0,3.0,0.0,0.0,14.0,3.0,3.0,80.0,1.0,19.0,6.0,4.0,1.0,0.0,0.0,0.0,2086.0,1.0,3.0,53.48717948717949,0.48717948717948717,0.10526315789473684,1043.0,0.0,1.05,2190.3,7.692250254001358,3.0,4.0,12.0,2086.0,1.0,4351396.0,2086.0,1.0,7.643482907077201,3.0,1043.0,0.9823128050570088
24.0,1.0,2.0,813.0,1.0,1.0,3.0,3.0,1.0,45.0,2.0,1.0,61.0,3.0,1.0,6.0,4.0,1.0,2293.0,3020.0,2.0,0.0,1.0,16.0,3.0,1.0,80.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,2293.0,0.0,6.0,95.54166666666667,0.25,0.16666666666666666,2293.0,1.0,1.05,2407.65,7.786821703558021,6.0,8.0,12.0,2293.0,2.0,5257849.0,4586.0,4.0,7.738052297689316,6.0,2293.0,0.5327150147834303
43.0,0.0,2.0,1273.0,1.0,2.0,2.0,3.0,1.0,46.0,4.0,0.0,72.0,4.0,1.0,6.0,3.0,0.0,2645.0,21923.0,1.0,0.0,0.0,12.0,3.0,4.0,80.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,1983.75,4.0,15.0,61.51162790697674,0.13953488372093023,0.16666666666666666,2645.0,0.2,1.05,2777.25,7.929576512065756,15.0,15.0,9.0,2645.0,5.0,6996025.0,13225.0,25.0,7.880804344674901,15.0,2645.0,0.9968982219979623
50.0,1.0,2.0,869.0,2.0,3.0,2.0,2.0,1.0,47.0,1.0,1.0,86.0,2.0,1.0,8.0,3.0,1.0,2683.0,3810.0,1.0,0.0,1.0,14.0,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,2012.25,3.0,9.0,53.66,0.06,0.3333333333333333,2683.0,0.0,1.05,2817.15,7.943835920282596,9.0,9.0,9.0,2683.0,3.0,7198489.0,8049.0,9.0,7.895063498091573,9.0,2683.0,0.3731738910707785
35.0,0.0,2.0,890.0,2.0,2.0,3.0,2.0,1.0,49.0,4.0,0.0,97.0,3.0,1.0,8.0,4.0,1.0,2014.0,9687.0,1.0,0.0,0.0,13.0,3.0,1.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2014.0,0.0,6.0,57.542857142857144,0.05714285714285714,0.5,2014.0,1.0,1.05,2114.7000000000003,7.6571410059892715,6.0,8.0,12.0,2014.0,2.0,4056196.0,4028.0,4.0,7.608374474380783,6.0,2014.0,0.9352945269725231
36.0,0.0,2.0,852.0,1.0,5.0,4.0,1.0,1.0,51.0,2.0,0.0,82.0,2.0,1.0,6.0,1.0,1.0,3419.0,13072.0,9.0,0.0,1.0,14.0,3.0,4.0,80.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,854.75,1.0,3.0,94.97222222222223,0.16666666666666666,0.16666666666666666,3419.0,0.0,1.05,3589.9500000000003,8.186172070431013,3.0,1.0,3.0,3419.0,1.0,11689561.0,3419.0,1.0,8.13739583005665,3.0,3419.0,0.30236482433763323
33.0,0.0,1.0,1141.0,2.0,1.0,3.0,1.0,1.0,52.0,3.0,0.0,42.0,4.0,2.0,7.0,1.0,1.0,5376.0,3193.0,2.0,0.0,0.0,19.0,3.0,1.0,80.0,2.0,10.0,3.0,3.0,5.0,3.0,1.0,3.0,1344.0,4.0,15.0,162.9090909090909,0.30303030303030304,0.2,2688.0,0.2,1.05,5644.8,8.638667184877477,15.0,5.0,3.0,5376.0,5.0,28901376.0,26880.0,25.0,8.589885876809678,15.0,2688.0,0.9854441929880425
35.0,0.0,2.0,464.0,1.0,4.0,2.0,4.0,1.0,53.0,3.0,1.0,75.0,3.0,1.0,2.0,4.0,0.0,1951.0,10910.0,1.0,0.0,0.0,12.0,3.0,3.0,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1951.0,1.0,3.0,55.74285714285714,0.02857142857142857,1.0,1951.0,0.0,1.05,2048.55,7.625375535841004,3.0,4.0,12.0,1951.0,1.0,3806401.0,1951.0,1.0,7.5766097669730375,3.0,1951.0,0.9127085553338308
27.0,0.0,2.0,1240.0,1.0,2.0,4.0,1.0,1.0,54.0,4.0,0.0,33.0,3.0,1.0,2.0,1.0,0.0,2341.0,19715.0,1.0,0.0,0.0,13.0,3.0,4.0,80.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,585.25,1.0,3.0,86.70370370370371,0.037037037037037035,1.0,2341.0,0.0,1.05,2458.05,7.80753037547836,3.0,1.0,3.0,2341.0,1.0,5480281.0,2341.0,1.0,7.758760544157663,3.0,2341.0,0.9371150869174809
26.0,1.0,2.0,1357.0,1.0,25.0,3.0,1.0,1.0,55.0,1.0,1.0,48.0,1.0,1.0,2.0,3.0,2.0,2293.0,10558.0,1.0,0.0,0.0,12.0,3.0,3.0,80.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1719.75,1.0,3.0,88.1923076923077,0.038461538461538464,1.0,2293.0,0.0,1.05,2407.65,7.786821703558021,3.0,3.0,9.0,2293.0,1.0,5257849.0,2293.0,1.0,7.738052297689316,3.0,2293.0,0.1340236548255863
27.0,0.0,1.0,994.0,2.0,8.0,3.0,1.0,1.0,56.0,4.0,1.0,37.0,3.0,3.0,7.0,3.0,2.0,8726.0,2975.0,1.0,0.0,0.0,15.0,3.0,4.0,80.0,0.0,9.0,0.0,3.0,9.0,8.0,1.0,7.0,6544.5,8.0,27.0,323.18518518518516,0.3333333333333333,0.3333333333333333,2908.6666666666665,0.1111111111111111,1.05,9162.300000000001,9.122961654798134,27.0,27.0,9.0,8726.0,9.0,76143076.0,78534.0,81.0,9.074176947163311,27.0,2908.6666666666665,0.9786058883737325
30.0,0.0,1.0,721.0,1.0,1.0,2.0,3.0,1.0,57.0,3.0,0.0,58.0,3.0,2.0,2.0,4.0,2.0,4011.0,10781.0,1.0,0.0,0.0,23.0,4.0,4.0,80.0,0.0,12.0,2.0,3.0,12.0,8.0,3.0,7.0,4011.0,9.0,48.0,133.7,0.4,0.16666666666666666,2005.5,0.25,1.1,4412.1,8.392332669334582,48.0,48.0,16.0,4011.0,12.0,16088121.0,48132.0,144.0,8.297045149081827,48.0,2005.5,0.9907798403446776
41.0,1.0,2.0,1360.0,1.0,12.0,3.0,5.0,1.0,58.0,2.0,0.0,49.0,3.0,5.0,5.0,3.0,1.0,19545.0,16280.0,1.0,0.0,0.0,12.0,3.0,4.0,80.0,0.0,23.0,0.0,3.0,22.0,15.0,15.0,8.0,14658.75,7.0,66.0,476.7073170731707,0.5609756097560976,0.21739130434782608,3909.0,0.6818181818181818,1.05,20522.25,9.929313668809867,66.0,66.0,9.0,19545.0,22.0,382007025.0,429990.0,484.0,9.880525940898782,66.0,3909.0,0.9583106193035801
34.0,0.0,0.0,1065.0,2.0,23.0,4.0,2.0,1.0,60.0,2.0,1.0,72.0,3.0,2.0,7.0,3.0,2.0,4568.0,10034.0,0.0,0.0,0.0,20.0,4.0,3.0,80.0,0.0,10.0,2.0,3.0,9.0,5.0,8.0,7.0,3426.0,1.0,36.0,134.35294117647058,0.29411764705882354,0.2,2284.0,0.8888888888888888,1.1,5024.8,8.522339924235768,36.0,27.0,12.0,4568.0,9.0,20866624.0,41112.0,81.0,8.427049641563272,36.0,2284.0,0.8296618915139361
37.0,0.0,2.0,408.0,1.0,19.0,2.0,1.0,1.0,61.0,2.0,1.0,73.0,3.0,1.0,6.0,2.0,1.0,3022.0,10227.0,4.0,0.0,0.0,21.0,4.0,1.0,80.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,1511.0,1.0,4.0,81.67567567567568,0.21621621621621623,0.125,3022.0,0.0,1.1,3324.2000000000003,8.109285101656933,4.0,2.0,8.0,3022.0,1.0,9132484.0,3022.0,1.0,8.014004994779459,4.0,3022.0,0.7364232630413012
